name	singer	title	sex	url	year	singer_sex
חנה	א. א. מילן	תפילת ערבית_2	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2995&wrkid=8749	0	male
דינה	אבי אוחיון	דינה דינה_34	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=37754	0	male
לאה	אבי אוחיון	חוזרים לשכונה_40	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=27957	0	male
דינה	אבי אוחיון	יום שני_48	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=39491	0	male
נעמה	אבי אמינוב	לחלום_1	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=13725&wrkid=33267	0	
יעל	אבי ביטר	פרפר הלילות_47	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1145&wrkid=14384	0	male
רחל	אבי בן אבו	היא יושבה לחלון_3	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=12978&wrkid=1058	0	male
עלמה	אבי דור	שמשון ודלילה_15	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1666&wrkid=6759	0	male
דלילה	אבי דור	שמשון ודלילה_15	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1666&wrkid=6759	0	male
מרים	אבי חן	בלדה למנקה הרחוב_1	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1964&wrkid=6160	0	
לאה	אבי טבוך	לא חשוב לי לאן_2	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=7475&wrkid=34214	0	
תרצה	אבי טולדנו	הלכת עם הלב_47	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=34925	0	male
אסתר	אבי טולדנו	קוראים לי אבי טולדנו_122	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=30&wrkid=20407	0	male
מרים	אבי לוי	בובת ברבי_3	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2183&wrkid=12082	0	male
דבורה	אבי מסיקה	כלב זקן_28	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2491&wrkid=15326	0	male
מרים	אבי מסיקה	סימני דרך_43	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2491&wrkid=12227	0	male
מרים	אבי מסיקה	שתדעי_58	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2491&wrkid=36400	0	male
שרה	אבי סינואני	שירת המזרח_52	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=31&wrkid=6107	0	male
שרה	אבי עדאקי	קשה להיות משה_10	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=11355&wrkid=25207	0	
שרה	אבי קורן	ארץ מזמרת_18	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=33&wrkid=16172	0	male
שרה	אבי קורן	שרה שרה שיר שמח_117	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=33&wrkid=13801	0	male
חנה	אבי רוזנבלום	שיר הבלבלה_5	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=4338&wrkid=34243	0	
רות	אביאור ביירון	רות ממתינה_5	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=17122&wrkid=39129	0	male
רות	אביאור ביירון	רות ממתינה_6	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=17122&wrkid=39817	0	male
מיכל	אביאל מור	הלילה שלנו_1	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=13763&wrkid=32950	0	
דברה	אביבה אבידן	זמר שלוש התשובות_17	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=35&wrkid=1388	0	female
דבורה	אביגדור קנר	סתיו פה עכשיו_1	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=17861&wrkid=40573	0	
רחל	אביהו מדינה	יעקב התמים_43	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=37&wrkid=4207	0	male
לאה	אביהו מדינה	יעקב התמים_43	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=37&wrkid=4207	0	male
רחל	אביהו מדינה	שושנת הפלאים_91	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=37&wrkid=34235	0	male
דבורה	אביהו פנחסוב	ליטל_3	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=16376&wrkid=40913	(2015) 	
מלכה	אביהו פנחסוב	שירה_13	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=16376&wrkid=39073	0	
בלהה	אביטל אריכא	חולמת בקטן_1	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9184&wrkid=22969	0	
רחל	אביעד גיל	רחל_9	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=4594&wrkid=27083	0	male
מלכה	אבירן	לתת לך אהבה_1	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=17787&wrkid=42580	0	
מרים	אביש	בלי פנים_4	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=6319&wrkid=17054	0	
שרה	אביתר בנאי	יש לי סיכוי_36	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=41&wrkid=1634	(1997) 	male
נעמה	אבנר גדסי	אשביעך דודי_8	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=42&wrkid=7920	0	male
עלמה	אבנר גוריש	עלמה_8	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=18712&wrkid=41407	0	
יוכבד	אבנר קנר	הסבון שבמקלחת_12	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=44&wrkid=16338	0	male
יעל	אברהם בן זאב	דבקה בנות הכפר_7	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=45&wrkid=10453	0	male
יעל	אברהם בן זאב	דבקה הלל_8	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=45&wrkid=7513	0	male
עלמה	אברהם בן זאב	הנשיקה הראשונה_11	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=45&wrkid=5687	0	male
נעמה	אברהם בר עוז	נעמה_6	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=46&wrkid=2318	0	
שרה	אברהם בר עוז	נעמה_6	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=46&wrkid=2318	0	
רבקה	אברהם בר עוז	רבקה ושמעון_9	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=46&wrkid=12685	0	
אלישבע	אברהם ברושי	אלישבע_4	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=47&wrkid=5126	0	male
חוה	אברהם ברושי	לדוד משה היתה חווה_9	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=47&wrkid=5753	0	male
יוכבד	אברהם ברושי	לימון לימונרו_10	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=47&wrkid=17197	0	male
רחל	אברהם ברושי	שושנת הפלאים_14	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=47&wrkid=34235	0	male
רחל	אברהם זיגמן	ברכת האל_2	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=49&wrkid=10681	0	male
חוה	אברהם חלפי	צער לך_34	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=50&wrkid=2709	0	male
חנה	אברהם טל	בוקר פרדס חנה_16	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=7335&wrkid=42655	(2016) 	male
לאה	אברהם יצחק	לא חשוב לי לאן_2	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=14915&wrkid=34214	0	male
אבישג	אברהם שלונסקי	כמה שאני יפה_18	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=52&wrkid=31886	0	male
אסתר	אדם הורוביץ	מתנה לחג_12	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1846&wrkid=9311	0	male
שרה	אדם טל	דיסקוטק_2	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=4846&wrkid=15766	0	male
מרים	אדם טל	דיסקוטק_2	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=4846&wrkid=15766	0	male
מיכל	אדם ישראלי	מיכל_9	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=19639&wrkid=44674	(2016) 	
מלכה	אדם לוינזון	אני אוהב אותך_2	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1605&wrkid=10821	0	male
מלכה	אדם	פריז ברלין_60	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=56&wrkid=26757	(2010) 	
עלמה	אהובה פיינברג	עלומים_1	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1051&wrkid=3318	0	
מלכה	אהובה צדוק	משחק פורים_3	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3781&wrkid=5672	0	female
אסתר	אהובה צדוק	משחק פורים_3	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3781&wrkid=5672	0	female
עלמה	אהוד בן כנען	הנה היא באה_2	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1227&wrkid=20718	0	
חנה	אהוד בנאי	בלוז כנעני_18	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=57&wrkid=9320	(2004) 	male
מלכה	אהוד בנאי	עיירה בדרום_80	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=57&wrkid=34490	0	male
אסתר	אהוד בנאי	קראת לי אסתר_94	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=57&wrkid=7976	0	male
מרים	אהוד בנאי	רעדה האדמה_98	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=57&wrkid=42170	0	male
תמר	אהוד בנאי	שיר זמני_99	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=57&wrkid=30755	(2011) 	male
רבקה	אהוד בנאי	שעה של מיסתורין_102	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=57&wrkid=10079	0	male
מרים	אהוד מנור	אלה שמות_81	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=3570	0	male
רחל	אהוד מנור	אני אוהב אותך לאה_111	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=384	0	male
לאה	אהוד מנור	אני אוהב אותך לאה_111	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=384	0	male
שרה	אהוד מנור	אני בנימיני_115	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=10784	0	male
דבורה	אהוד מנור	הדבורה והצרעה_282	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=29907	0	male
רחל	אהוד מנור	היתה לי ארץ_308	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=24094	0	male
שרה	אהוד מנור	העוקד הנעקד והמזבח_328	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=14798	0	male
ימימה	אהוד מנור	השיירה עוברת_334	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=16761	0	male
תמר	אהוד מנור	זמר על אמנון_378	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=19095	0	male
ימימה	אהוד מנור	חלומות שמורים_404	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=1457	0	male
דבורה	אהוד מנור	חלק מהנוף_407	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=1463	0	male
מרים	אהוד מנור	כי מחר נמות_479	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=1682	0	male
אסתר	אהוד מנור	מה שיהיה_586	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=9242	0	male
אסתר	אהוד מנור	מה שיהיה_587	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=6328	0	male
ימימה	אהוד מנור	מחר יגיע בחצות_597	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=30931	0	male
ימימה	אהוד מנור	מנוחה_620	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=13737	0	male
יעל	אהוד מנור	סוד כמוס_651	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=15683	0	male
רחל	אהוד מנור	סוד כמוס_651	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=15683	0	male
אסתר	אהוד מנור	סוד כמוס_651	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=15683	0	male
אסתר	אהוד מנור	עם כל החברה_714	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=9887	0	male
רות	אהוד מנור	פעם לאהוב_743	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=4621	0	male
חנה	אהוד מנור	שלום כיתה א'_849	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=9799	0	male
שרה	אהוד מנור	שלום כיתה א'_849	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=9799	0	male
חוה	אהוד מנור	שלושת הפעמונים_855	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=12159	0	male
חנה	אהוד מנור	תצלום ישן_885	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=58&wrkid=10849	0	male
יעל	אהרון אשמן	ככה כך_7	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1204&wrkid=6539	0	
אסתר	אהרון פררה	בת בן_1	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3131&wrkid=9918	0	male
מרים	אהרון קפלן	חוף הים_3	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3685&wrkid=24047	0	
ימימה	אהרון רזאל	מנחה_14	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1047&wrkid=13366	0	male
תרצה	אוגוסטין לרה	תן לי אות_1	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=15729&wrkid=36024	0	
רחל	אודי דוידי	מביטה בחלון_39	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=6934&wrkid=23439	(2010) 	male
חוה	אודי דמארי	יוצר האדם_10	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=15366&wrkid=46114	0	
מרים	אוהד חזקי	אין לך תשובה_1	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=6723&wrkid=22719	0	
דינה	אוהד פישוף	את רוצה אותי בפח_9	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1845&wrkid=22124	0	
מרים	אוהד פישוף	חדוה_19	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1845&wrkid=22126	0	
ימימה	אוהד פישוף	כוכב הלכת כן_25	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1845&wrkid=11872	0	
אסתר	אוהד פישוף	מתנה לחג_31	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1845&wrkid=9311	0	
יעל	אוהד קוסקי	הכל זה פופ_12	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1391&wrkid=11784	0	
רחל	אוהד קוסקי	רחל_25	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1391&wrkid=5248	0	
לאה	אוסנת פז	ימי לאה_9	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=149&wrkid=4357	0	
דינה	אוסנת פז	לרותי יום הולדת_15	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=149&wrkid=6433	0	
דבורה	אוסקר המרשטיין	משל סיאמי_16	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2406&wrkid=31829	0	male
דבורה	אופיר כהן	לוק של נסיכות_88	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=6098&wrkid=43643	0	male
מלכה	אופיר כהן	נפגש בצהריים_127	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=6098&wrkid=42568	0	male
ימימה	אופיר כהן	פרח המדבר_137	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=6098&wrkid=36683	0	male
חנה	אופיר כהן	פרח המדבר_137	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=6098&wrkid=36683	0	male
מרים	אופיר לוקיי	איך לפעמים_1	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=4310&wrkid=13561	0	
אביטל	אופירה גלוסקא	הודי חמודי_9	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=65&wrkid=4991	0	female
אסתר	אופירה גלוסקא	חור כרפס ותכלת_15	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=65&wrkid=33110	0	female
רות	אור בן דוד	שיר השרוט_1	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=17778&wrkid=40370	0	
לאה	אורה זיטנר	ההר הירוק_19	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=66&wrkid=29957	0	female
מרים	אורה זיטנר	חמוריקו_31	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=66&wrkid=4979	0	female
אביגיל	אורה זיטנר	ליל גליל_37	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=66&wrkid=4479	0	female
מלכה	אורה זיטנר	מחשיך ערב קיץ_42	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=66&wrkid=11436	0	female
מלכה	אורה זיטנר	משירי ארץ אהבתי_44	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=66&wrkid=9452	0	female
עלמה	אורה סופר	עלומים_2	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1052&wrkid=3318	0	
חגית	אורי אסף	בשתי טיפות של חלב_4	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=67&wrkid=16198	0	male
אסנת	אורי אסף	צעצועיה של אסנת_21	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=67&wrkid=11677	0	male
מלכה	אורי דינור	ק אותה_1	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=14881&wrkid=34120	0	
מרים	אורי זוהר	מרים_7	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=71&wrkid=33028	0	male
מיכל	אורי זוהר	שיר הפטנטים_13	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=71&wrkid=3762	0	male
מרים	אורי זוהר	שמי הוא דני דן_14	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=71&wrkid=9017	0	male
דבורה	אורי חזקיה	תבוא אלי_3	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=12510&wrkid=28708	0	male
דינה	אורי לשמן	נערת ליווי_4	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2627&wrkid=24060	0	male
יעל	אורי מייזלמן	הכל זה פופ_2	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1723&wrkid=11784	0	
שרה	אורי סלע	כיפאק היי_6	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1770&wrkid=7183	0	male
לאה	אורי פיינמן	אהבת איתמר בן אב_3	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=74&wrkid=68	0	male
רחל	אורי פיינמן	אני אוהב אותך לאה_21	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=74&wrkid=384	0	male
לאה	אורי פיינמן	אני אוהב אותך לאה_21	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=74&wrkid=384	0	male
חוה	אורי פיינמן	סודם של אדם וחוה_56	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=74&wrkid=20189	0	male
חגית	אורי פסטר	חגית הספורטאית ויואב המאוהב_2	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3244&wrkid=24649	0	male
יעל	אורי פרוסט	חיה בשוליים_4	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2048&wrkid=32286	0	male
מיכל	אורי רז	מגיע לי אותי_10	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3221&wrkid=12600	0	
יעל	אורי רז	מגיע לי אותי_10	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3221&wrkid=12600	0	
מרים	אורי שבח	עיר כלה_8	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=2155&wrkid=10668	0	male
מרים	אורי שוחט	בלבלה_3	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=5981&wrkid=46286	0	
רבקה	אורי שוחט	חרקות_5	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=5981&wrkid=41789	0	
אסתר	אורי שוחט	פלאטו_10	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=5981&wrkid=45150	0	
אסתר	אורי שוחט	פלאטו_9	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=5981&wrkid=43889	0	
רות	אורי שרון	ביכורים וטבע_5	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=6740&wrkid=33033	0	
אסתר	אורי שרון	סילבסטר אמיתי_15	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=6740&wrkid=44777	0	
דינה	אוריאל אופק	דני דינה_6	BF	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=76&wrkid=8387	0	male
