name	singer	title	sex	url	year	singer_sex
גלי	א. ב. דן	17_1	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3852&wrkid=13564	0	
אן	א. ב. דן	ברחובותיה של הרצליה_10	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3852&wrkid=12764	0	
גלי	א. ב. דן	ילדה גדולה ילדה קטנה_19	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=3852&wrkid=13565	0	
אמי	א. ולאדימירצב	הבללייקה_1	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=12830&wrkid=5526	0	
אן	א. קונדיס	שכשנבוא_1	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=25&wrkid=3062	0	
שיר	א.י. הרבורג	שם מעבר לקשת_2	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=11528&wrkid=14337	0	male
שיר	א.י. הרבורג	שם מעבר לקשת_3	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=11528&wrkid=38431	0	male
ירדן	אבא אשר שפירא	בשדמות בית לחם_1	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1627&wrkid=4943	0	
ירדן	אבא אשר שפירא	בשדמות בית לחם_1	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=1627&wrkid=4943	0	
ג'ון	אבות ישורון	אחד ינואר לילה_1	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=27&wrkid=46168	0	male
ג'ון	אבות ישורון	בבית קפה מצד הרחוב_4	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=27&wrkid=22067	0	male
שלי	אבות ישורון	בהחבא_5	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=27&wrkid=46230	0	male
דורית	אבטיפוס	גיל ההתבגרות_7	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=28&wrkid=10261	0	
אן	אבטיפוס	הלילה הזה_8	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=28&wrkid=7392	0	
שמחה	אבטיפוס	לאן את הולכת_15	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=28&wrkid=4211	0	
אן	אבטיפוס	קצב הזמן_27	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=28&wrkid=4049	0	
אן	אבי אבורומי	אל תאמרי_3	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=19563&wrkid=44462	0	
ליבי	אבי אבורומי	לפני שבאת_5	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=19563&wrkid=45581	0	
שמחה	אבי אבורומי	תמשיכי_9	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=19563&wrkid=44789	0	
ליבי	אבי אברג'ל	מנגינה של אהבה_2	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=12686&wrkid=28440	0	
גיא	אבי אדריאן	מזמור לדוד_1	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=5701&wrkid=21997	0	
ליבי	אבי אוחיון	6,000 מייל_2	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=42082	0	male
ליבי	אבי אוחיון	6000 מייל_3	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=43495	0	male
ברכה	אבי אוחיון	אבא גדול_5	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=45510	0	male
תכלת	אבי אוחיון	אז הלכתי_8	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=39853	0	male
לב	אבי אוחיון	אחות קטנה_10	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=45770	0	male
ליבי	אבי אוחיון	אחרי כל השנים_11	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=45094	0	male
אנה	אבי אוחיון	אני אפנה_18	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=36021	0	male
אן	אבי אוחיון	בחור חדש_26	F	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=45772	0	male
ליבי	אבי אוחיון	ביילה ביילה_28	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=36040	0	male
ליבי	אבי אוחיון	בלילות קרים_31	U	https://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=9746&wrkid=36807	0	male
