year,male,bible_male,female,bible_female
0,32475,16383,26853,2272
212,13,10,11,1
1973,3,7,5,0
1974,15,7,7,0
1975,14,10,12,1
1976,9,5,12,3
1977,1,0,1,0
1978,34,25,33,2
1979,23,16,17,3
1980,17,9,23,1
1981,14,1,10,0
1982,27,14,25,1
1983,15,7,14,2
1984,25,12,22,1
1985,18,7,9,1
1986,15,6,14,3
1987,31,14,24,2
1988,26,23,25,6
1989,9,1,7,0
1990,14,10,9,0
1991,8,1,9,0
1992,19,12,17,0
1993,39,8,22,5
1994,13,8,11,0
1995,37,19,25,1
1996,5,1,8,0
1997,29,18,29,2
1998,15,9,13,1
1999,33,15,31,1
2000,38,37,26,1
2001,24,9,34,2
2002,50,37,37,2
2003,45,17,43,0
2004,69,33,61,2
2005,76,31,78,8
2006,103,56,86,6
2007,116,68,107,4
2008,139,70,135,6
2009,110,79,97,4
2010,212,96,174,11
2011,120,52,114,3
2012,181,113,186,8
2013,48,32,34,1
2014,10,6,12,1
2015,37,28,49,2
2016,91,31,103,6
2017,101,36,91,5
2018,2,0,5,0
